Name,Phone,Email
ajit,9856324512,ajit@gmail.com
ajith,9567812345,ajithk@gmail.com
arun,9123456789,arunkumar@gmail.com
don,7485963210,don@gmail.com
karthikeyan,7418523690,karthikeyan@.com
kala,7825963145,kala@gmail.com
kart,7904853326,kkmkkma@.com
karthi,7412588520,kkmkkm@gmail.com
karthikeyan,7904853328,kkm@.com
kash,7412580258,kash78@gmail.com
naveen,9988776655,naveenp@gmail.com
puli,7952368249,puli20@gmail.com
punith,4152369878,puni@gmail.com
ravi,8899123456,ravishankar@gmail.com
suresh,9098765432,sureshm@gmail.com
vijay,9785612340,vijayraj@gmail.com
